Tor | 212.83.151.15 | 2013-12-04 00:46:16 -0600 | Amtrak (2V) 30 | 342
Tor | 212.83.151.15 | 2013-12-04 00:46:16 -0600 | Amtrak (2V) 30 | 342
Tor | 212.83.151.15 | 2013-12-04 00:46:17 -0600 | Amtrak (2V) 30 | 342
Tor | 212.83.151.15 | 2013-12-04 00:46:17 -0600 | Amtrak (2V) 30 | 342
Tor | 212.83.151.15 | 2013-12-04 00:46:17 -0600 | Amtrak (2V) 30 | 342
Firefox | 24.13.81.249 | 2013-12-04 01:00:31 -0600 | American (AA) 394 | 198
Firefox | 24.13.81.249 | 2013-12-04 01:00:31 -0600 | American (AA) 360 | 198
Firefox | 24.13.81.249 | 2013-12-04 01:00:31 -0600 | American (AA) 348 | 198
Firefox | 24.13.81.249 | 2013-12-04 01:00:32 -0600 | American (AA) 384 | 198
Firefox | 24.13.81.249 | 2013-12-04 01:00:32 -0600 | American (AA) 352 | 198
Firefox | 24.13.81.249 | 2013-12-04 01:00:32 -0600 | American (AA) 364 | 198
Firefox | 24.13.81.249 | 2013-12-04 01:00:32 -0600 | Spirit (NK) 630 | 198
Firefox | 24.13.81.249 | 2013-12-04 01:00:33 -0600 | American (AA) 3271 | 198
Firefox | 24.13.81.249 | 2013-12-04 01:00:33 -0600 | Delta (DL) 5934 | 198
Firefox | 24.13.81.249 | 2013-12-04 01:00:33 -0600 | American (AA) 3261 | 198
Firefox | 24.13.81.249 | 2013-12-04 01:00:34 -0600 | American (AA) 3261 | 198
Firefox | 24.13.81.249 | 2013-12-04 01:00:34 -0600 | United (UA) 682 | 198
Firefox | 24.13.81.249 | 2013-12-04 01:00:34 -0600 | United (UA) 3517 | 198
Firefox | 24.13.81.249 | 2013-12-04 01:00:35 -0600 | United (UA) 3474 | 208
Firefox | 24.13.81.249 | 2013-12-04 01:00:35 -0600 | United (UA) 3906 | 209
Firefox | 24.13.81.249 | 2013-12-04 01:00:35 -0600 | Delta (DL) 5946 | 311
Firefox | 24.13.81.249 | 2013-12-04 01:00:35 -0600 | United (UA) 3910 | 311
Firefox | 24.13.81.249 | 2013-12-04 01:00:36 -0600 | Delta (DL) 5940 | 209
Firefox | 24.13.81.249 | 2013-12-04 01:00:36 -0600 | United (UA) 1492 | 342
Firefox | 24.13.81.249 | 2013-12-04 01:00:36 -0600 | Delta (DL) 5950 | 342
Firefox | 24.13.81.249 | 2013-12-04 01:00:36 -0600 | United (UA) 692 | 342
Firefox | 24.13.81.249 | 2013-12-04 01:00:36 -0600 | Delta (DL) 5942 | 342
